;Nazwa;Kategoria;zdjecie;Cena zawiera podatek. (brutto);Opis
0;  Lucande Hayley lampa wisząca LED 9-punktowa, złota ;34;"https://lw-cdn.com/images/B0453540484E/k_43d38fcb4734dfcdb21cf0b0ccffde71;w_353;h_353;q_70/lucande-hayley-lampa-wiszaca-led-9-punktowa-zlota.jpg"; 1522,68zł ;Lampka LED do zawieszania Hayley z dziewięcioma wspaniałymi szklanymi kulami o szlachetnym, złotym wyglądzie  Specjalna wisząca lampa LED Hayley charakteryzuje się eleganckim wzornictwem i nowoczesną technologią LED. Zarówno okrągły daszek, jak i filigranowe elementy metalowe, które otaczają spodnią część szklanej kuli, uzyskały złote wykończenie.  Wnętrze dziewięciu kul zaskakuje dekoracyjnie wkomponowanymi bąbelkami powietrza, które podkreślają indywidualny charakter lampy. Zainstalowane na stałe diody LED o wysokiej intensywności emitują przyjemne, ciepłe, białe światło, które nadaje się również do oświetlania większych powierzchni pomieszczenia. Światło jest rozprowadzane pośrednio i równomiernie w pomieszczeniu bez oślepiania. Szlachetny i efektowny design tego pięknego źródła światła może być zintegrowany z różnymi meblami i pozostawia długotrwałe wrażenie na obserwatorze. Pobierz:   Instrukcja obsługi                    (554 KB) 
1;  Lampa wisząca Dallas, chrom ;34;"https://lw-cdn.com/images/D5D49BEA3E4D/k_a42b95d7f0b83b397413137fcaa4cdbf;w_353;h_353;q_70/lampa-wiszaca-dallas-chrom.jpg";2029,19zł;Lampa wisząca Dallas z chromowanymi szklanymi kulami  25-punktowa lampa wisząca Dallas ma bajecznie piękny wygląd: podłużny klosz stanowią szklane kule w odcieniu chromu przymocowane do długiego metalowego pręta. Cała lampa sprawia bardzo nowoczesne, a jednocześnie uroczyste wrażenie – ze względu na swój odcień oświetlone szklane kule emitują wyjątkowo piękne światło.  To niezwykle atrakcyjne źródło oświetlenia obszarowego i ogólnego do nowoczesnej przestrzeni mieszkalnej, które nadaje każdemu pomieszczeniu ekskluzywny charakter. 
2;  Lampa wisząca LED Artist, Ø 40 cm, czarna ;34;"https://lw-cdn.com/images/8E6A4ADBDC5A/k_0bda51e10807e55d7f3721405a9b3635;w_353;h_353;q_70/lampa-wiszaca-led-artist-o-40-cm-czarna.jpg";1160,08zł;Oprawa wisząca LED Artist - przyjemne oświetlenie stołu w płaskim wzornictwie  Jednopłomienna lampa wisząca Artist przekonuje nowoczesnym, przejrzystym designem płaskiego, okrągłego klosza. Jego czarna metalowa obudowa posiada od spodu opalową osłonę z tworzywa sztucznego, która rozprasza ciepłobiałe światło zintegrowanych diod LED i zapewnia w ten sposób szerokie i przyjemne oświetlenie obszaru pod lampą. Na przykład do indywidualnego oświetlenia stołu w jadalni, ale także nad stołem w restauracji lub w grupie wzdłuż lady, lampa wisząca LED Artist może być idealnie wykorzystana.  - ściemniane zewnętrznie przez sekcję fazową 
3;  Wspaniała lampa wisząca LED Narisa ;34;"https://lw-cdn.com/images/7BFB9B237E6C/k_40fd1f89024ee5686cc42a26fcfdd2a1;w_353;h_353;q_70/wspaniala-lampa-wiszaca-led-narisa.jpg"; 1195,04zł ;Narisa – wyjątkowa lampa wisząca LED z kloszem z wielu elementów metalowych  Nieregularnie uformowane, zazwyczaj owalne elementy metalowe z chromowaną powierzchnią zostały w lampie wiszącej LED Narisa uszeregowane, tworząc niezwykły klosz lampy. Tak właśnie powstała czarująca struktura, która będzie stanowić centralny element każdego pomieszczenia. Żarówki są umiejscowione za dyfuzorem z białego akrylu, przez co emitują jednorodne światło w dół, podczas gdy przez liczne przestrzenie klosza oraz przez odbicia światła na wygiętych elementach powstają wokół świetne efekty świetne na ścianach i elementach wyposażenia.  
4;  Lucande Filoreta lampa wisząca, 35 cm, czarna ;34;"https://lw-cdn.com/images/BE36C5E166FC/k_26a2e0b54d228b1e54b6db59ae48dbb4;w_353;h_353;q_70/lucande-filoreta-lampa-wiszaca-35-cm-czarna.jpg"; 247,89zł ;Okrągła designerska lampa wisząca Filoreta z czarnym metalowym kloszem i detalami w kolorze mosiądzu - szlachetna do kuchni i jadalni  Filoreta ma okrągły, ale płaski metalowy klosz, który tym samym uosabia pewną prostolinijność, jak to często bywa w stylu Mid-Century, który ma szczególny urok retro, ponieważ przypomina wnętrza z połowy ubiegłego wieku i podchwytuje wzornictwo lat 40-tych, 50-tych i 60-tych. Metal jest ciężki i poddany wysokiej jakości obróbce, dzięki czemu lampa wisząca Filoreta może błyszczeć solidną konstrukcją, a jednocześnie uosabia prostą elegancję.  Ponieważ metal jest materiałem nieprzezroczystym, światło jest naturalnie kierowane w dół na powierzchnię, którą w wielu przypadkach jest stół w kuchni lub jadalni. Stół ten może być wtedy dobrze i jasno oświetlony, zwłaszcza że zastosowano dwie żarówki E27 (często o wyglądzie filamentu lub rustykalnym i wydajnej technologii LED), ale światło otoczenia wydaje się dość przytulne i stosunkowo nieoślepiające. Metalowy klosz z matową czarną powierzchnią uzupełniają detale w kolorze szczotkowanego mosiądzu, które tworzą modny kontrast, ale także harmonijnie współgrają ze sobą. Również pokryty tkaniną kabel, który prowadzi do mocowania sufitowego lampy wiszącej, jest dopasowany kolorystycznie. Ogólnie rzecz biorąc, projekt oprawy wykazuje wyczucie dla specjalnych i wybranych szczegółów, które razem tworzą luksusową aurę z przyjemną dyskrecją. Pobierz:   Instrukcja obsługi                    (355 KB) 
5;  Lucande Jorna lampa wisząca 5-pkt, kabel czerwony ;34;"https://lw-cdn.com/images/F4D01DF8378D/k_9165dcd73428d8ef78b073913fd530e2;w_353;h_353;q_70/lucande-jorna-lampa-wiszaca-5-pkt-kabel-czerwony.jpg"; 305,61zł ;Pięciolampowa designerska lampa wisząca Jorna z czerwonymi przewodami z tkaniny  Jorna to bardzo przykuwający uwagę, wyjątkowy element oświetleniowy do nowoczesnych stylizacji, który potrafi zapunktować niezwykłymi walorami aranżacyjnymi i przyciąga wzrok nie tylko dzięki połączeniu kolorystycznemu w czerni i czerwieni. Jednocześnie lampa wisząca przyciąga wzrok dzięki swojemu ikonicznemu wzornictwu i zawsze wywołuje efekt domowy i dekoracyjny, a minimalistyczny design dzięki odpowiedniemu doborowi materiałów wyróżnia całą koncepcję. Nie ma klasycznych kloszy, jest za to rama z czarnego żelaza, z której luźno zwisają gniazda. Od gniazdka elektrycznego do źródeł światła prowadzą czerwone kable tekstylne, co rozluźnia ogólny wygląd mocnym odcieniem koloru i wyraźnie indywidualizuje wygląd. Kable można dowolnie rozmieszczać, a lampa wisząca Jorna jest z pewnością odpowiednim elementem oświetleniowym dla indywidualistów, którzy poszukują takich elementów wyposażenia, za pomocą których można się wyróżnić. Ogólny design również dobrze wpisuje się w trend industrialny, a aby dopełnić wygląd w stylu, należy wybrać lampy kuliste w formacie G95, które są większe niż standardowe lampy i nie tylko ze względu na brak kloszy przyciągają wzrok i są obecną częścią oprawy.  Pobierz:   Instrukcja obsługi                    (407 KB) 
6;  Lindby Baliko lampa wisząca, 5-pkt., czarna ;42;"https://lw-cdn.com/images/15FEF6375E97/k_bffe0c008912639e0a2c085979bd8596;w_353;h_353;q_70/lindby-baliko-lampa-wiszaca-5-pkt-czarna.jpg"; 286,91zł ;Czarna lampa wisząca Baliko o podłużnym kształcie - idealna do oświetlenia jadalni  Lampa wisząca Baliko zachwyca nowoczesnym wyglądem. Wykonany jest w całości ze stali i posiada efektowne wykończenie w kolorze czarnym. Pięć punktów świetlnych jest umieszczonych w rzędzie wzdłuż stalowego pręta i zapewnia doskonałe oświetlenie stołu w jadalni.  Projekt jest zredukowany do szczegółów i skupia się na tym, co najważniejsze. Światło emitowane jest bezpośrednio w dół, dzięki czemu nie ma ryzyka oślepienia podczas jedzenia lub siedzenia razem. Możliwe jest również zastosowanie nad licznikiem. Pobierz:   Instrukcja obsługi                    (571 KB) 
7;  Okrągła, szklana lampa wisząca Valeria do kuchni ;42;"https://lw-cdn.com/images/E76AAF7FFF60/k_101710131733268402a8534acbe5f4f0;w_353;h_353;q_70/okragla-szklana-lampa-wiszaca-valeria-do-kuchni.jpg"; 264,96zł ;Valeria – wykonana ze szkła lampa wisząca, pozwalająca uzyskać przytulne oświetlenie  Klosz lampy wiszącej Valeria wykonano ze szkła, które równomiernie rozdziela i zmiękcza emitowane światło. W ten sposób powstaje przytulny, przyjemny efekt świetlny, odpowiedni do spożycia posiłku czy wspólnego spędzania czasu w kuchni. Także wizualnie lampa Otis bez problemu wpasuje się w wystrój wnętrza. Jeśli chodzi o źródła światła, w tym modelu można stosować dobre, stare żarówki lub lampy halogenowe, ale też dużo efektywniej wykorzystujące prąd lampy LED, które teraz dostępne są w takim wyborze, że nie muszą ustępować wyglądem lampom żarowym.  Pobierz:   Instrukcja obsługi                    (292 KB) 
8;  Lampa wisząca LED Hayley szklana kula 1-pkt. chrom ;42;"https://lw-cdn.com/images/DE99BF981807/k_5d7bb2c3e31b187b805710f3f92713c4;w_353;h_353;q_70/lampa-wiszaca-led-hayley-szklana-kula-1-pkt-chrom.jpg"; 247,89zł ;1-punktowa lampa wisząca LED Hayley z elementami chromowanymi i kulą ze szkła bąbelkowego  Kompaktowa lampa wisząca Hayley utrzymana jest w bardzo nowoczesnym stylu, który doskonale pasuje do wielu obiektów mieszkalnych z nowoczesnym wyposażeniem. Klosz jest kulisty i wykonany głównie ze szkła o niezwykłej strukturze bąbelkowej. Tylko w dolnej części uzupełnia go metalowy element, który, podobnie jak mocowanie sufitowe, jest chromowany na wysoki połysk. Emitowane światło jest zarówno pośrednie, jak i bezpośrednie. W miejscach, gdzie światło wychodzi bezpośrednio, znajduje się biała osłona, co zapewnia miękki rozkład światła o bardzo przytulnym charakterze. Diody LED lampy wiszącej mają dobrą wydajność i zużywają mało energii elektrycznej pomimo odpowiedniej jasności.    Pobierz:   Instrukcja obsługi                    (409 KB) 
9;  Lampa wisząca LED Ezana, trzy pierścienie, biała ;42;"https://lw-cdn.com/images/9B63E78E8F27/k_575da2dbe21ca3eef3511f95da8e54a3;w_353;h_353;q_70/lampa-wiszaca-led-ezana-trzy-pierscienie-biala.jpg";877,15zł;Lampa wisząca LED Ezana, biała  Ta lampa wisząca LED Ezana staje się hitem w każdym wnętrzu, gdzie dominują proste kształty. Łączy w sobie wyjątkowy design z ciepłym, ściemnianym nastrojowym światłem.   Zawieszenie lampy wiszącej ma w całości kolor biały i łączy w sobie elementy metalowe i plastikowe, tworząc harmonijną całość. Dzięki temu lampa elegancko komponuje się z nowoczesnymi stylami wystroju wnętrz. Trzy pierścienie świetlne są przymocowane do rozpórek lampy i pasują do siebie niczym pierścienie w układzie planetarnym. Zapewniają one dyskretną grę światła i cienia. Światło natomiast można przyciemniać trójstopniowo za pomocą przełącznika ściennego, korzystając z funkcji ściemniania. Pobierz:   Instrukcja obsługi                    (259 KB) 
