;Nazwa;Kategoria;zdjecie;Cena zawiera podatek. (brutto);Opis
7;  Lucande Sotiana lampa wisząca szklane kule, 4-pkt. ;34;"https://lw-cdn.com/images/9301D99F798E/k_c4307eed1d16d40f334e2ae3925aef10;w_353;h_353;q_70/lucande-sotiana-lampa-wiszaca-szklane-kule-4-pkt.jpg"; Special Price  652,76zł ;4-punktowa lampa wisząca belka Sotiana z przezroczystymi szklanymi kulami - idealna do oświetlania miejsc do spożywania posiłków  Sotiana to lampa wisząca w kształcie belki z czterema pięknie ukształtowanymi kulistymi szkłami, które są całkowicie przezroczyste. Dzięki temu nic nie traci się na jasności żarówek, ale oczywiście przemawia to również za dobrą widocznością samych żarówek, dlatego też należy je dobierać starannie, tak aby stylowo uzupełniały ogólne wzornictwo. Żarówki rustykalne i filament w kształcie kropli i z technologią LED są więc tutaj źródłem światła pierwszego wyboru.   Wizualnie, Sotiana przekonuje nowoczesnym wyglądem, ale także walorami stylu vintage. Podstawa lub uchwyt sufitowy oraz belka wykonane są z metalu i są czarne, natomiast mosiężne oprawy lamp wyróżniają się stylowo i wraz ze szkłem tworzą elegancki, trójskładnikowy wygląd. Podłużna, 4-punktowa forma lampy wiszącej belki jest idealna do oświetlania stołu w jadalni.  
8;  Lucande Dustian lampa wisząca, szklana kula ;34;"https://lw-cdn.com/images/25F49C0C4C79/k_795aa6dd3d975651b70865a593d7ae2c;w_353;h_353;q_70/lucande-dustian-lampa-wiszaca-szklana-kula.jpg"; Special Price  134,88zł ;Kularowa lampa wisząca Dustian w ekstrawaganckim wykonaniu z czarnego metalu i szkła  Projekt tej okrągłej oprawy wiszącej wydaje się szlachetny i nieco zabawny i uosabia elegancki dwuskładnikowy wygląd, ponieważ klosz w formie kuli wykonany jest z czarnego metalu i przezroczystego szkła w mniej więcej równych częściach. Mechanizm skrętu pozwala na szybkie zdemontowanie obu elementów podczas wymiany lampy, a następnie równie szybkie złożenie ich z powrotem. Otwór jest tak duży, że można stosować nawet lampy kuliste o średnicy do 9,5 cm. Za przezroczystym szkłem, tak duża lampa jest wtedy oczywiście szczególnie piękna. Alternatywą jest zastosowanie reflektora lustrzanego dla szczególnie komfortowych warunków oświetleniowych lub lamp o bardzo ciepłej barwie światła. Pasuje to do modnego czarnego wykończenia powierzchni.   Jako oprawa wisząca, Dustian jest prawdziwym typem charakteru o unikalnym wyglądzie i może być wkomponowany w wiele przestrzeni mieszkalnych, gdzie nie tylko dostarcza światła, ale także wywiera rzeczywiste wrażenie jako element wyposażenia o charakterze obiektowym. Pobierz:   Instrukcja obsługi                    (377 KB) 
9;  Lucande Lian lampa wisząca LED, mosiądz, regulacja ;34;"https://lw-cdn.com/images/F577E80F30C3/k_5ee514fbf17cb7a63ef269f7de544f89;w_353;h_353;q_70/lucande-lian-lampa-wiszaca-led-mosiadz-regulacja.jpg"; Special Price  1674,72zł ;Wyprodukowana w Niemczech lampa wisząca LED o regulowanej wysokości Lian, zewnętrzne ściemnianie, kolory mosiądzu, CRI 90  Lian to lampa wisząca LED, która idealnie pasuje nad stołem w jadalni. Obie osłony zostały misternie wykończone ręcznie w pięknej, matowej tonacji mosiądzu i mają zaokrąglony kształt. Listwa świetlna wewnątrz nowoczesnego i ekstrawagancko ukształtowanego klosza lampy jest wyposażona w diody LED w taki sposób, że powstaje bezpośrednie i pośrednie światło, a otoczenie zostaje przyjemnie oświetlone. Jasność wiszącej lampy można perfekcyjnie regulować za pomocą zewnętrznego ściemniacza (ściemniacz z trybem odcinania fazy lub fazowo-kątowy), a barwa światła jest tak samo ciepła, jak w przypadku żarówek tradycyjnych, dzięki czemu uzyskuje się przytulny obraz świetlny, który bardzo ładnie wpasowuje się w przestrzeń mieszkania. Dodatkowo, powierzchnia w kolorze mosiądzu zapewnia ciepłą emisję światła barwionego, a Lian jest jednym z produktów oświetleniowych, które są produkowane z najwyższą precyzją w Niemczech i charakteryzują się najwyższą jakością.   Za pomocą jednego lub dwóch ruchów ręki, wysokość zawieszenia można regulować w dowolnym momencie (od 105 cm do 195 cm), stwarzając optymalne warunki oświetleniowe w jadalni wraz z innymi cechami, które charakteryzują lampę Lian. Dzięki bardzo dużej przestrzeni połączeniowej w puszce sufitowej szczególnie wygodny jest montaż lampy wiszącej z jasnymi i wydajnymi diodami LED.   Oddawanie barw przez diody LED jest doskonałe, CRI jest większy, niż 90, dzięki czemu można zapewnić jak najbardziej naturalne odwzorowanie kolorów, nawet przy sztucznym oświetleniu pomieszczeń. Pobierz:   Instrukcja obsługi                    (268 KB) 
10;  Lampa wisząca Fiona z falbaniastym kloszem ;34;"https://lw-cdn.com/images/D0FD1007D45A/k_5b78a91121e3351f723e51c2f7772f2d;w_353;h_353;q_70/lampa-wiszaca-fiona-z-falbaniastym-kloszem.jpg"; 173,90zł ;Fiona – lampa wisząca z falbaniastym kloszem z papieru  Puchaty klosz lampy wiszącej Fiona składa się z wielu pojedynczych warstw papieru, które są rozdymane jak falbanki i nałożone na siebie. Żarówka z trzonkiem E27 (maks. 40 W, można stosować także żarówki LED) nastrojowo rozświetla klosz i zamienia białą oprawę świetlną w romantyczną lampę w sypialni. 
11;  MARKET SET Screen XL lampa wisząca ;34;"https://lw-cdn.com/images/14CA9E3E19EB/k_035ca24ccdb926679a88840a31f6a064;w_353;h_353;q_70/market-set-screen-xl-lampa-wiszaca.jpg"; 2509,90zł ;Designerska lampa wisząca Screen o mobilnym wyglądzie  Oprawa wisząca Screen daje wspaniały efekt nawet wtedy, gdy nie jest oświetlona, ponieważ dziesięć różnej wielkości elementów klosza o wiklinowym designie sprawia, że wygląda ona jak mobile i dzięki temu ma dużą wartość dekoracyjną dla wystroju wnętrza. Oprawka żarówki jest zamontowana pośrodku kloszy, żarówka (nie zawarta w zestawie) promieniuje swoim światłem równomiernie na wszystkie strony i rozświetla klosze. W rezultacie otrzymujemy przytulny efekt świetlny z bardzo estetyczną grą światła i cienia. Jasność można regulować za pomocą zewnętrznego ściemniacza.  Screen jest częścią corocznej kolekcji MARKET SET, młodej marki, pod którą francuska firma Corep SAS wprowadza na rynek modele z puli młodych projektantów.  
12;  Lampa wisząca LED Narisa Ø 46 cm różowa/brązowa ;34;"https://lw-cdn.com/images/54BB455F295F/k_5843aabe40790b28eaf65b31dcba0602;w_353;h_353;q_70/lampa-wiszaca-led-narisa-o-46-cm-rozowa-brazowa.jpg"; 1573,09zł ;Fascynująco zaprojektowana oprawa wisząca Narisa LED  Wiele metalowych elementów, które składają się na cień oprawy wiszącej Narisa LED, ma kształt dużych i małych łyżek i jest pomalowanych w różowym złocie. Wewnątrz znajduje się akrylowy dyfuzor, który w jednolity sposób kształtuje światło emitowane przez zintegrowane lampy LED (G9) i kieruje je w dół. Ponadto, światło jest również kierowane do otoczenia poprzez wiele przestrzeni pomiędzy elementami. Ponadto, zarówno odbicia światła, jak i refleksy tworzą bardzo nastrojowy obraz świetlny.  Oprawa wisząca, która tworzy wrażenie zarówno jako podstawowe oświetlenie w pomieszczeniu, jak i źródło światła nad stołem jadalnym. 
13;  Lucande Filoreta lampa wisząca, 45 cm, czarna ;34;"https://lw-cdn.com/images/A4BA886594AC/k_c214560d0165f28cfd224e711ba30b63;w_353;h_353;q_70/lucande-filoreta-lampa-wiszaca-45-cm-czarna.jpg"; Special Price  343,82zł ;Czarny metalowy wisior Filoreta z mosiężnymi detalami - szlachetny wzór do kuchni i salonu  Wysokiej jakości obrobiony wisior Filoreta posiada okrągły klosz, który wykonany jest z metalu ciężkiego w solidnej konstrukcji i jednocześnie uosabia prostą elegancję. Czarna powierzchnia odcienia jest uzupełniona innymi wybranymi detalami w szczotkowanym mosiądzu oraz kablem z poszyciem tekstylnym w dopasowanych kolorach. Rezultatem jest luksusowy projekt oprawy, inspirowany stylem biodrowym z połowy wieku, który ma niepowtarzalny wygląd retro i nawiązuje do wzornictwa środkowych dekad ubiegłego wieku. Projekt ten charakteryzuje się m.in. zredukowanymi kształtami geometrycznymi, które można znaleźć również tutaj, ponieważ odcień jest okrągły, ale płaski i prosty.  Metalowy klosz sam w sobie jest nieprzezroczysty i emituje światło z trzech lamp E27 tylko w dół, dzięki czemu powierzchnia stołu w kuchni lub jadalni w salonie jest jasno oświetlona, a reszta otoczenia jest przyjemnie i bez olśnień, przy czym efekt ten zależy oczywiście również od wysokości mocowania. Efektem jest piękne światło dzienne, które nadaje stylowy wygląd wielu pomieszczeniom i stylom. Pobierz:   Instrukcja obsługi                    (368 KB) 
14;  Lucande Lian lampa wisząca LED, czarna, aluminium ;34;"https://lw-cdn.com/images/DF4B598118F5/k_8d71197e15150b1ae8a028789767c962;w_353;h_353;q_70/lucande-lian-lampa-wiszaca-led-czarna-aluminium.jpg"; Special Price  1599,11zł ;Czarna lampa wisząca LED o regulowanej wysokości Lian z dwoma zakrzywionymi przesłonami, wykonana w Niemczech  Lampa wisząca LED Lian ma wydłużony kształt, przy czym przesłony są pięknie wygięte, a lampa może być również wykorzystywana jako oświetlenie stołu jadalnego. Jest to również wspierane przez regulację wysokości, ponieważ Lian może być regulowana w dowolnym momencie w zakresie od 105 cm do 195 cm podczas pracy, co zapewnia zwiększoną elastyczność. Lampa została wyprodukowana w Niemczech zgodnie z najwyższymi standardami jakości i posiada wykończenie powierzchni w kolorze czarnym, które zostało misternie wykonane ręcznie. Mocowanie sufitowe stanowi piękny kontrast, ponieważ jest utrzymane w matowym odcieniu aluminium i służy jako efektowny dodatek do całego wzornictwa.   Jeśli lampa wisząca LED ma być ściemniana, potrzebny jest zewnętrzny ściemniacz, który może być sterowany zarówno za pomocą odcinania fazy, jak i regulacji kąta fazowego. Światło wychodzi zarówno w górę, jak i w dół, oświetlając pomieszczenie zarówno bezpośrednio, jak i pośrednio, zapewniając w ten sposób najlepsze warunki dla naturalnie wyglądającego oświetlenia. Poziom oddawania barw jest szczególnie wysoki, dzięki czemu wszystkie odcienie barw w pomieszczeniu mogą być prezentowane w sposób niezmieniony.   Bardzo duża przestrzeń połączeniowa w puszce sufitowej umożliwia prosty i wygodny montaż lamp, w których wszystkie elementy wymagające schowania mogą być bezpiecznie i dobrze umieszczone.  Pobierz:   Instrukcja obsługi                    (269 KB) 
15;  Lucande Parena lampa wisząca ze szklanymi kloszami ;34;"https://lw-cdn.com/images/D27F67C957CA/k_201fd7f2f8a729a8678a0fefe9251a37;w_353;h_353;q_70/lucande-parena-lampa-wiszaca-ze-szklanymi-kloszami.jpg"; Special Price  906,42zł ;Dziewięciolampowa lampa wisząca Parena z kloszami ze szkła  Lampa wisząca Parena przekonuje nowoczesnym wyglądem, który charakteryzuje się kontrastami kolorów i materiałów. Obudowa tej lampy została wykonana z solidnego żelaza i poddana obróbce z matowym, czarnym wykończeniem. Klosze wykonane są ze szkła i stanowią piękny kontrast dla ramy.  Parena oferuje dobre oświetlenie dzięki dziewięciu palącym się punktom i może być umieszczona zarówno nad ladą, jak i nad większym stołem w jadalni. Wykorzystanie jest możliwe zarówno we własnych czterech ścianach, jak i w obszarze hotelarstwa czy gastronomii. Pobierz:   Instrukcja obsługi                    (297 KB) 
16;  Lucande Sakina lampa wisząca LED czarna Ø 49cm ;34;"https://lw-cdn.com/images/0C992EDADF0A/k_f138cd8bd16664dd60e9c8212cc7bf9b;w_353;h_353;q_70/lucande-sakina-lampa-wiszaca-led-czarna-o-49cm.jpg"; Special Price  457,64zł ;Lampa wisząca Swinging LED Sakina wykonana z żelaza o ciekawym kształcie  Lampa wisząca LED Sakina przekonuje swoim efektownym wyglądem. Klosz, wykonany z żelaza i aluminium, składa się z wąskiej rozpórki, która porusza się wokół siebie w sposób wymiatający. Stałe diody LED biegną wzdłuż tej belki, które wytwarzają ciepłe białe światło i rozdzielają je w pomieszczeniu w niezwykły sposób. Nowoczesny i różnorodny design sprawia, że doskonale nadaje się do salonu lub jadalni i stanowi miłe uzupełnienie wystroju wnętrza. Ponadto posiada on praktyczne funkcje techniczne, które zapewniają pewien stopień elastyczności w oświetleniu. Wyłącznik ścienny umożliwia włączanie i wyłączanie światła jak zwykle. Dzięki 3-stopniowej technologii ściemniania ze zintegrowaną funkcją wyłączania, można ją również przyciemnić do trzech różnych poziomów jasności poprzez kilkakrotne naciśnięcie przełącznika: 100 %, 40 % i 10 %. Wisząca oprawa Sakina LED tworzy efektowne akcenty na sufitach mieszkań i może być łatwo zintegrowana z nowoczesnym stylem wyposażenia. Pobierz:   Instrukcja obsługi                    (331 KB) 
